#,Element,Symbol,Atomic Mass,Type,Discoverer,Year
1,Hydrogen,H,1.007,Nonmetal,Cavendish,1766
2,Helium,He,4.002,Noble Gas,Janssen,1868
3,Lithium,Li,6.941,Alkali Metal,Arfvedson,1817
4,Beryllium,Be,9.012,Alkaline Earth Metal,Vaulquelin,1798
5,Boron,B,10.811,Metalloid,Gay-Lussac,1808
6,Carbon,C,12.011,Nonmetal,Prehistoric,
7,Nitrogen,N,14.007,Nonmetal,Rutherford,1772
8,Oxygen,O,15.999,Nonmetal,Priestley/Scheele,1774
9,Fluorine,F,18.998,Halogen,Moissan,1886
10,Neon,Ne,20.18,Noble Gas,Ramsay and Travers,1898
11,Sodium,Na,22.99,Alkali Metal,Davy,1807
12,Magnesium,Mg,24.305,Alkaline Earth Metal,Black,1755
13,Aluminum,Al,26.982,Metal,Wshler,1827
14,Silicon,Si,28.086,Metalloid,Berzelius,1824
15,Phosphorus,P,30.974,Nonmetal,BranBrand,1669
16,Sulfur,S,32.065,Nonmetal,Prehistoric,
17,Chlorine,Cl,35.453,Halogen,Scheele,1774
18,Argon,Ar,39.948,Noble Gas,Rayleigh and Ramsay,1894
19,Potassium,K,39.098,Alkali Metal,Davy,1807
20,Calcium,Ca,40.078,Alkaline Earth Metal,Davy,1808
21,Scandium,Sc,44.956,Transition Metal,Nilson,1878
22,Titanium,Ti,47.867,Transition Metal,Gregor,1791
23,Vanadium,V,50.942,Transition Metal,   del Rio,1801
24,Chromium,Cr,51.996,Transition Metal,Vauquelin,1797
25,Manganese,Mn,54.938,Transition Metal,"Gahn, Scheele",1774
26,Iron,Fe,55.845,Transition Metal,Prehistoric,
27,Cobalt,Co,58.933,Transition Metal,Brandt,1735
28,Nickel,Ni,58.693,Transition Metal,Cronstedt,1751
29,Copper,Cu,63.546,Transition Metal,Prehistoric,
30,Zinc,Zn,65.38,Transition Metal,Prehistoric,
31,Gallium,Ga,69.723,Metal,de Boisbaudran,1875
32,Germanium,Ge,72.64,Metalloid,Winkler,1886
33,Arsenic,As,74.922,Metalloid,Albertus Magnus,1250
34,Selenium,Se,78.96,Nonmetal,Berzelius,1817
35,Bromine,Br,79.904,Halogen,Balard,1826
36,Krypton,Kr,83.798,Noble Gas,Ramsay and Travers,1898
37,Rubidium,Rb,85.468,Alkali Metal,Bunsen and Kirchoff,1861
38,Strontium,Sr,87.62,Alkaline Earth Metal,Davy,1808
39,Yttrium,Y,88.906,Transition Metal,Gadolin,1794
40,Zirconium,Zr,91.224,Transition Metal,Klaproth,1789
41,Niobium,Nb,92.906,Transition Metal,Hatchett,1801
42,Molybdenum,Mo,95.96,Transition Metal,Scheele,1778
43,Technetium,Tc,98,Transition Metal,Perrier and Segr??®,1937
44,Ruthenium,Ru,101.07,Transition Metal,Klaus,1844
45,Rhodium,Rh,102.906,Transition Metal,Wollaston,1803
46,Palladium,Pd,106.42,Transition Metal,Wollaston,1803
47,Silver,Ag,107.868,Transition Metal,Prehistoric,
48,Cadmium,Cd,112.411,Transition Metal,Stromeyer,1817
49,Indium,In,114.818,Metal,Reich and Richter,1863
50,Tin,Sn,118.71,Metal,Prehistoric,
51,Antimony,Sb,121.76,Metalloid,Early historic times,
52,Tellurium,Te,127.6,Metalloid,von Reichenstein,1782
53,Iodine,I,126.904,Halogen,Courtois,1811
54,Xenon,Xe,131.293,Noble Gas,Ramsay and Travers,1898
55,Cesium,Cs,132.905,Alkali Metal,Bunsen and Kirchoff,1860
56,Barium,Ba,137.327,Alkaline Earth Metal,Davy,1808
57,Lanthanum,La,138.905,Lanthanide,Mosander,1839
58,Cerium,Ce,140.116,Lanthanide,Berzelius,1803
59,Praseodymium,Pr,140.908,Lanthanide,von Welsbach,1885
60,Neodymium,Nd,144.242,Lanthanide,von Welsbach,1885
61,Promethium,Pm,145,Lanthanide,Marinsky et al.,1945
62,Samarium,Sm,150.36,Lanthanide,Boisbaudran,1879
63,Europium,Eu,151.964,Lanthanide,Demarcay,1901
64,Gadolinium,Gd,157.25,Lanthanide,de Marignac,1880
65,Terbium,Tb,158.925,Lanthanide,Mosander,1843
66,Dysprosium,Dy,162.5,Lanthanide,de Boisbaudran,1886
67,Holmium,Ho,164.93,Lanthanide,Delafontaine and Soret,1878
68,Erbium,Er,167.259,Lanthanide,Mosander,1843
69,Thulium,Tm,168.934,Lanthanide,Cleve,1879
70,Ytterbium,Yb,173.054,Lanthanide,Marignac,1878
71,Lutetium,Lu,174.967,Lanthanide,Urbain/ von Welsbach,1907
72,Hafnium,Hf,178.49,Transition Metal,Coster and von Hevesy,1923
73,Tantalum,Ta,180.948,Transition Metal,Ekeberg,1801
74,Wolfram,W,183.84,Transition Metal,J. and F. d'Elhuyar,1783
75,Rhenium,Re,186.207,Transition Metal,"Noddack, Berg, and Tacke",1925
76,Osmium,Os,190.23,Transition Metal,Tennant,1803
77,Iridium,Ir,192.217,Transition Metal,Tennant,1804
78,Platinum,Pt,195.084,Transition Metal,Ulloa/Wood,1735
79,Gold,Au,196.967,Transition Metal,Prehistoric,
80,Mercury,Hg,200.59,Transition Metal,Prehistoric,
81,Thallium,Tl,204.383,Metal,Crookes,1861
82,Lead,Pb,207.2,Metal,Prehistoric,
83,Bismuth,Bi,208.98,Metal,Geoffroy the Younger,1753
84,Polonium,Po,210,Metalloid,Curie,1898
85,Astatine,At,210,Metalloid,Corson et al.,1940
86,Radon,Rn,222,Noble Gas,Dorn,1900
87,Francium,Fr,223,Alkaline Earth Metal,Perey,1939
88,Radium,Ra,226,Alkaline Earth Metal,Pierre and Marie Curie,1898
89,Actinium,Ac,227,Actinide,Debierne/Giesel,1899
90,Thorium,Th,232.038,Actinide,Berzelius,1828
91,Protactinium,Pa,231.036,Actinide,Hahn and Meitner,1917
92,Uranium,U,238.029,Actinide,Peligot,1841
93,Neptunium,Np,237,Actinide,McMillan and Abelson,1940
94,Plutonium,Pu,244,Actinide,Seaborg et al.,1940
95,Americium,Am,243,Actinide,Seaborg et al.,1944
96,Curium,Cm,247,Actinide,Seaborg et al.,1944
97,Berkelium,Bk,247,Actinide,Seaborg et al.,1949
98,Californium,Cf,251,Actinide,Seaborg et al.,1950
99,Einsteinium,Es,252,Actinide,Ghiorso et al.,1952
100,Fermium,Fm,257,Actinide,Ghiorso et al.,1953
101,Mendelevium,Md,258,Actinide,Ghiorso et al.,1955
102,Nobelium,No,259,Actinide,Ghiorso et al.,1958
103,Lawrencium,Lr,262,Actinide,Ghiorso et al.,1961
104,Rutherfordium,Rf,261,Transactinide,Ghiorso et al.,1969
105,Dubnium,Db,262,Transactinide,Ghiorso et al.,1970
106,Seaborgium,Sg,266,Transactinide,Ghiorso et al.,1974
107,Bohrium,Bh,264,Transactinide,Armbruster and M??®nzenberg,1981
108,Hassium,Hs,267,Transactinide,Armbruster and M??®nzenberg,1983
109,Meitnerium,Mt,268,Transactinide,"GSI, Darmstadt, West Germany",1982
110,Darmstadtium ,Ds ,271,Transactinide,,1994
111,Roentgenium ,Rg ,272,Transactinide,,1994
112,Copernicium ,Cn ,285,Transactinide,,1996
113,Nihonium,Nh,284,,,2004
114,Flerovium,Fl,289,Transactinide,,1999
115,Moscovium,Mc,288,,,2010
116,Livermorium,Lv,292,Transactinide,,2000
117,Tennessine,Ts,295,,,2010
118,Oganesson,Og,294,Noble Gas,,2006
